title,description,
"Product - create project",,Product
"Product - add model and repository",,
"Product - controller - findAll",,
"Product - controller - findById",,
"Product - controller - save",,
"Product - controller - update",,
"Product - controller - delete",,
"User - create project",,User
"User - add model and repository",,
"User - controller - findAll",,
"User - controller - findById",,
"User - controller - save",,
"User - controller - update",,
"User - controller - delete",,
"Order - create project",,
"Order - add model and repository",,
"Order - controller - save","Ajouter au controller une méthode save mappée sur POST /orders qui reçoit un Order et l'enregistre dans la DB. Puis il envoi l'order sur le topic orders-topic",
"Product - order consumer","Lors de la reception d'un event sur le topic orders-topic, mettre à jour les product en actualisant la liste des commandes",
"User - order consumer","Lors de la reception d'un event sur le topic orders-topic, mettre à jour le usert en actualisant la liste de ses commandes",
"SimilarProduct - create project",,
"SimilarProduct - add model and repository",,
"SimilarProduct - order consumer","Lors de la reception d'un event sur le topic orders-topic, mettre à jour la liste des produits similaires en actualisant la liste de ses commandes",
"SimilarProduct - controller - ajouter un point d'accès par id de produit",,
